PosX, PosY, PosZ, NormVecX, NormVecY, NormVecZ,Value, IsRightHand
0,0.1,0.1,0.019811012,0.741704966,0.670433642,79.17937185,1
0,0.1,0.2,0.183313876,0.52234599,0.832796908,76.08377596,1
0,0.1,0.3,0.12128342,0.436620311,0.891433136,72.17228561,1
0,0.1,0.4,0.14844111,0.347017959,0.926036594,70.07422754,1
0,0.2,-0.3,0.02890715,0.862794303,-0.504728014,81.16486526,1
0,0.2,-0.2,0.093926067,0.978396526,-0.184168758,79.38904024,1
0,0.2,-0.1,0.099758104,0.995006639,0.003179387,78.90353515,1
0,0.2,0,0.037327103,0.905665566,0.422346504,78.27649437,1
0,0.2,0.1,0.056632623,0.875724898,0.479477475,77.42477664,1
0,0.2,0.2,0.141709693,0.687708805,0.712021743,74.59260605,1
0,0.2,0.3,0.088106285,0.701863624,0.70684138,73.02966378,1
0,0.2,0.4,0.183640019,0.576217407,0.796398043,70.28288742,1
0.1,-0.4,-0.3,0.365095466,-0.678972503,-0.636947126,78.81638356,1
0.1,-0.4,-0.2,0.341935876,-0.910304205,-0.233294043,79.41726519,1
0.1,-0.4,-0.1,0.558056285,-0.71798023,-0.416025928,79.51422542,1
0.1,-0.4,0,0.432248936,-0.817514292,0.380566998,76.2908389,1
0.1,-0.4,0.1,0.307385492,-0.753789548,0.580788668,75.10139715,1
0.1,-0.4,0.2,0.281842681,-0.682979033,0.673872646,73.41683888,1
0.1,-0.4,0.3,0.202043668,-0.530676424,0.823140869,72.05099766,1
0.1,-0.4,0.4,0.165024931,-0.21272745,0.963075181,68.89660411,1
0.1,-0.3,-0.3,0.471890523,-0.6041812,-0.642093772,80.9331461,1
0.1,-0.3,-0.2,0.502002506,-0.784838517,-0.363348299,82.08314969,1
0.1,-0.3,-0.1,0.512035756,-0.855717342,0.074613771,80.0166283,1
0.1,-0.3,0,0.484957118,-0.768511281,0.417381127,78.77777747,1
0.1,-0.3,0.1,0.323737357,-0.783513283,0.530378223,77.63965033,1
0.1,-0.3,0.2,0.174854035,-0.694430485,0.697991667,74.48405833,1
0.1,-0.3,0.3,0.280046924,-0.453114972,0.846321773,73.22884488,1
0.1,-0.3,0.4,0.361516921,-0.132923084,0.92284179,70.72299245,1
0.1,-0.2,-0.3,0.504022135,-0.276668593,-0.818178573,83.00765269,1
0.1,-0.2,-0.2,0.559231373,-0.563391145,-0.608153508,84.36690963,1
0.1,-0.2,-0.1,0.742045803,-0.670079002,0.019030412,84.21255527,1
0.1,-0.2,0,0.629841758,-0.51562175,0.580890326,79.63447113,1
0.1,-0.2,0.1,0.490952762,-0.600433518,0.63122498,77.66842189,1
0.1,-0.2,0.2,0.107092114,-0.146903309,0.983336513,73.99994788,1
0.1,-0.2,0.3,0.263749241,0.029976542,0.964125378,72.56415734,1
0.1,-0.2,0.4,0.290101678,0.034349951,0.95637916,70.98551142,1
0.1,-0.1,-0.3,0.556974308,0.010499076,-0.830463358,84.6880738,1
0.1,-0.1,-0.2,0.781666381,-0.113940232,-0.613200858,86.43160626,1
0.1,-0.1,-0.1,0.949872393,-0.246722441,-0.192016858,86.93926853,1
0.1,-0.1,0,0.621226498,-0.065708874,0.780871297,79.36724314,1
0.1,-0.1,0.1,0.651786631,-0.271274324,0.708226255,77.39777578,1
0.1,-0.1,0.2,-0.14053042,0.295175248,0.945051731,72.12065139,1
0.1,-0.1,0.3,0.013914972,0.258174489,0.965998088,72.40333015,1
0.1,-0.1,0.4,0.255088781,0.198998514,0.946218424,73.1181033,1
0.1,0,-0.3,0.433107517,0.315845685,-0.844191555,84.81890561,1
0.1,0,-0.2,0.723385241,0.407302125,-0.557511231,86.13215686,1
0.1,0,-0.1,0.675103012,0.734438657,-0.069539789,85.25122555,1
0.1,0,0,0.682316887,0.72674246,-0.079303613,82.85398455,1
0.1,0,0.1,0.736717044,0.111005338,0.667027594,77.80082253,1
0.1,0,0.2,0.42621663,-0.251068234,0.869082347,74.77579579,1
0.1,0,0.3,0.233125011,0.097516345,0.967544982,71.18132556,1
0.1,0,0.4,0.280010553,0.278260487,0.918784627,70.57975579,1
0.1,0.1,-0.3,0.263941054,0.538745409,-0.800055313,83.83993912,1
0.1,0.1,-0.2,0.47032303,0.798465433,-0.375831343,82.72579663,1
0.1,0.1,-0.1,0.498447885,0.813113014,0.300660825,82.13004647,1
0.1,0.1,0,0.540780114,0.750879712,0.379126005,81.39718115,1
0.1,0.1,0.1,0.533480887,0.690570011,0.488376089,78.08175256,1
0.1,0.1,0.2,0.419237888,0.483952461,0.768133848,75.50725744,1
0.1,0.1,0.3,0.331462354,0.411258846,0.849116523,72.91140796,1
0.1,0.1,0.4,0.292258229,0.37359003,0.880349713,70.48781004,1
0.1,0.2,-0.3,0.255139766,0.811364008,-0.525920285,80.09862354,1
0.1,0.2,-0.2,0.462118206,0.871944088,-0.161741372,79.15030518,1
0.1,0.2,-0.1,0.388135754,0.908805668,0.153045399,78.01951456,1
0.1,0.2,0,0.429410412,0.848637177,0.308903933,77.70247951,1
